Cancer site grouping,"Calendar 
period of
diagnosis",Sex,"Age
group","Years 
since 
diagnosis","Cases 
analysed","Deaths 
within 10 years","Censored 
within 10 years","Patients 
remaining at risk 
at timepoint T","Observed 
survival (%)","Lower 95% CI
for observed 
survival","Upper 95% CI
for observed 
survival","Net 
survival (%)","Lower 95% CI 
for net survival","Upper 95% CI 
for net survival"
"Brain and other CNS (ICD-9 191-192; ICD-10 C70-C72, C75.1-C75.3)",1993-1997,Male,15-99,5,901,805,0,149,16.5,14.2,19.0,17.4,15.0,20.2
"Brain and other CNS (ICD-9 191-192; ICD-10 C70-C72, C75.1-C75.3)",1993-1997,Male,15-99,10,901,805,0,96,10.7,8.7,12.8,z,z,z
"Brain and other CNS (ICD-9 191-192; ICD-10 C70-C72, C75.1-C75.3)",1993-1997,Male,15-74 ICSS,1,794,700,0,317,29.0,26.2,32.1,29.4,26.6,32.5
"Brain and other CNS (ICD-9 191-192; ICD-10 C70-C72, C75.1-C75.3)",1993-1997,Male,15-74 ICSS,5,794,700,0,146,:,:,:,:,:,:
"Brain and other CNS (ICD-9 191-192; ICD-10 C70-C72, C75.1-C75.3)",1993-1997,Male,15-74 ICSS,10,794,700,0,94,:,:,:,:,:,:
"Brain and other CNS (ICD-9 191-192; ICD-10 C70-C72, C75.1-C75.3)",1993-1997,Male,15-99 ICSS,1,901,805,0,322,*22.7,*20.7,*24.9,*20.0,*17.8,*22.5
"Brain and other CNS (ICD-9 191-192; ICD-10 C70-C72, C75.1-C75.3)",1993-1997,Male,15-99 ICSS,5,901,805,0,149,*9.0,*7.7,*10.5,*9.3,*7.5,*11.6
"Brain and other CNS (ICD-9 191-192; ICD-10 C70-C72, C75.1-C75.3)",1993-1997,Male,15-99 ICSS,10,901,805,0,96,:,:,:,:,:,:
"Brain and other CNS (ICD-9 191-192; ICD-10 C70-C72, C75.1-C75.3)",1993-1997,Female,15-44,1,139,83,0,108,77.7,69.8,83.8,77.8,71.2,85.0
"Brain and other CNS (ICD-9 191-192; ICD-10 C70-C72, C75.1-C75.3)",1993-1997,Female,15-44,5,139,83,0,78,56.1,47.5,63.9,56.3,48.7,65.2
"Brain and other CNS (ICD-9 191-192; ICD-10 C70-C72, C75.1-C75.3)",1993-1997,Female,15-44,10,139,83,0,56,40.3,32.1,48.3,40.8,33.3,49.8
"Brain and other CNS (ICD-9 191-192; ICD-10 C70-C72, C75.1-C75.3)",1993-1997,Female,45-54,1,109,88,0,56,51.4,41.6,60.3,51.6,43.0,61.8
"Brain and other CNS (ICD-9 191-192; ICD-10 C70-C72, C75.1-C75.3)",1993-1997,Female,45-54,5,109,88,0,28,25.7,17.9,34.1,26.2,19.1,36.0
"Brain and other CNS (ICD-9 191-192; ICD-10 C70-C72, C75.1-C75.3)",1993-1997,Female,45-54,10,109,88,0,21,19.3,12.5,27.1,20.3,13.9,29.6
"Brain and other CNS (ICD-9 191-192; ICD-10 C70-C72, C75.1-C75.3)",1993-1997,Female,55-64,1,160,155,0,31,19.4,13.7,25.8,19.6,14.3,26.8
"Brain and other CNS (ICD-9 191-192; ICD-10 C70-C72, C75.1-C75.3)",1993-1997,Female,55-64,5,160,155,0,13,8.1,4.6,13.0,8.6,5.1,14.3
"Brain and other CNS (ICD-9 191-192; ICD-10 C70-C72, C75.1-C75.3)",1993-1997,Female,55-64,10,160,155,0,5,:,:,:,:,:,:
"Brain and other CNS (ICD-9 191-192; ICD-10 C70-C72, C75.1-C75.3)",1993-1997,Female,65-74,1,213,210,0,19,8.9,5.6,13.2,9.2,6.0,14.0
"Brain and other CNS (ICD-9 191-192; ICD-10 C70-C72, C75.1-C75.3)",1993-1997,Female,65-74,5,213,210,0,6,:,:,:,:,:,:
"Brain and other CNS (ICD-9 191-192; ICD-10 C70-C72, C75.1-C75.3)",1993-1997,Female,65-74,10,213,210,0,3,:,:,:,:,:,:
"Brain and other CNS (ICD-9 191-192; ICD-10 C70-C72, C75.1-C75.3)",1993-1997,Female,75-99,1,134,131,0,11,8.2,4.3,13.6,8.8,5.0,15.3
"Brain and other CNS (ICD-9 191-192; ICD-10 C70-C72, C75.1-C75.3)",1993-1997,Female,75-99,5,134,131,0,7,:,:,:,:,:,:
"Brain and other CNS (ICD-9 191-192; ICD-10 C70-C72, C75.1-C75.3)",1993-1997,Female,75-99,10,134,131,0,3,:,:,:,z,z,z
"Brain and other CNS (ICD-9 191-192; ICD-10 C70-C72, C75.1-C75.3)",1993-1997,Female,15-74,1,621,536,0,214,34.5,30.7,38.2,34.6,31.1,38.6
"Brain and other CNS (ICD-9 191-192; ICD-10 C70-C72, C75.1-C75.3)",1993-1997,Female,15-74,5,621,536,0,125,20.1,17.1,23.4,20.6,17.6,24.0
"Brain and other CNS (ICD-9 191-192; ICD-10 C70-C72, C75.1-C75.3)",1993-1997,Female,15-74,10,621,536,0,85,13.7,11.1,16.5,14.2,11.7,17.4
"Brain and other CNS (ICD-9 191-192; ICD-10 C70-C72, C75.1-C75.3)",1993-1997,Female,15-99,1,755,667,0,225,29.8,26.6,33.1,30.0,26.9,33.5
"Brain and other CNS (ICD-9 191-192; ICD-10 C70-C72, C75.1-C75.3)",1993-1997,Female,15-99,5,755,667,0,132,17.5,14.9,20.3,18.2,15.6,21.3
"Brain and other CNS (ICD-9 191-192; ICD-10 C70-C72, C75.1-C75.3)",1993-1997,Female,15-99,10,755,667,0,88,11.7,9.5,14.1,z,z,z
"Brain and other CNS (ICD-9 191-192; ICD-10 C70-C72, C75.1-C75.3)",1993-1997,Female,15-74 ICSS,1,621,536,0,214,26.3,23.4,29.5,26.5,23.6,29.7
"Brain and other CNS (ICD-9 191-192; ICD-10 C70-C72, C75.1-C75.3)",1993-1997,Female,15-74 ICSS,5,621,536,0,125,:,:,:,:,:,:
"Brain and other CNS (ICD-9 191-192; ICD-10 C70-C72, C75.1-C75.3)",1993-1997,Female,15-74 ICSS,10,621,536,0,85,:,:,:,:,:,:
"Brain and other CNS (ICD-9 191-192; ICD-10 C70-C72, C75.1-C75.3)",1993-1997,Female,15-99 ICSS,1,755,667,0,225,21.0,18.6,23.7,21.3,18.9,24.1
"Brain and other CNS (ICD-9 191-192; ICD-10 C70-C72, C75.1-C75.3)",1993-1997,Female,15-99 ICSS,5,755,667,0,132,*11.1,*9.5,*12.9,*11.8,*10.1,*13.7
"Brain and other CNS (ICD-9 191-192; ICD-10 C70-C72, C75.1-C75.3)",1993-1997,Female,15-99 ICSS,10,755,667,0,88,:,:,:,:,:,:
"Brain and other CNS (ICD-9 191-192; ICD-10 C70-C72, C75.1-C75.3)",1998-2002,Male,15-44,1,219,137,1,179,81.7,75.9,86.3,81.9,76.9,87.1
"Brain and other CNS (ICD-9 191-192; ICD-10 C70-C72, C75.1-C75.3)",1998-2002,Male,15-44,5,219,137,1,108,49.7,42.9,56.1,50.2,43.9,57.3
"Brain and other CNS (ICD-9 191-192; ICD-10 C70-C72, C75.1-C75.3)",1998-2002,Male,15-44,10,219,137,1,81,37.3,30.9,43.7,38.1,32.1,45.2
"Brain and other CNS (ICD-9 191-192; ICD-10 C70-C72, C75.1-C75.3)",1998-2002,Male,45-54,1,164,151,0,75,45.7,38.0,53.1,46.0,39.0,54.3
"Brain and other CNS (ICD-9 191-192; ICD-10 C70-C72, C75.1-C75.3)",1998-2002,Male,45-54,5,164,151,0,21,12.8,8.2,18.4,13.2,8.9,19.5
"Brain and other CNS (ICD-9 191-192; ICD-10 C70-C72, C75.1-C75.3)",1998-2002,Male,45-54,10,164,151,0,13,7.9,4.4,12.7,8.6,5.2,14.3
"Brain and other CNS (ICD-9 191-192; ICD-10 C70-C72, C75.1-C75.3)",1998-2002,Male,55-64,1,229,225,0,52,22.7,17.5,28.3,23.0,18.2,29.2
"Brain and other CNS (ICD-9 191-192; ICD-10 C70-C72, C75.1-C75.3)",1998-2002,Male,55-64,5,229,225,0,7,:,:,:,:,:,:
"Brain and other CNS (ICD-9 191-192; ICD-10 C70-C72, C75.1-C75.3)",1998-2002,Male,55-64,10,229,225,0,4,:,:,:,:,:,:
"Brain and other CNS (ICD-9 191-192; ICD-10 C70-C72, C75.1-C75.3)",1998-2002,Male,65-74,1,271,266,0,48,17.7,13.4,22.5,18.4,14.2,23.7
"Brain and other CNS (ICD-9 191-192; ICD-10 C70-C72, C75.1-C75.3)",1998-2002,Male,65-74,5,271,266,0,9,:,:,:,:,:,:
"Brain and other CNS (ICD-9 191-192; ICD-10 C70-C72, C75.1-C75.3)",1998-2002,Male,65-74,10,271,266,0,5,:,:,:,:,:,:
"Brain and other CNS (ICD-9 191-192; ICD-10 C70-C72, C75.1-C75.3)",1998-2002,Male,75-99,1,152,151,0,3,:,:,:,:,:,:
"Brain and other CNS (ICD-9 191-192; ICD-10 C70-C72, C75.1-C75.3)",1998-2002,Male,75-99,5,152,151,0,2,:,:,:,:,:,:
"Brain and other CNS (ICD-9 191-192; ICD-10 C70-C72, C75.1-C75.3)",1998-2002,Male,75-99,10,152,151,0,1,:,:,:,z,z,z
"Brain and other CNS (ICD-9 191-192; ICD-10 C70-C72, C75.1-C75.3)",1998-2002,Male,15-74,1,883,779,1,354,40.1,36.8,43.3,40.5,37.3,43.9
"Brain and other CNS (ICD-9 191-192; ICD-10 C70-C72, C75.1-C75.3)",1998-2002,Male,15-74,5,883,779,1,145,16.5,14.1,19.0,17.0,14.7,19.7
"Brain and other CNS (ICD-9 191-192; ICD-10 C70-C72, C75.1-C75.3)",1998-2002,Male,15-74,10,883,779,1,103,11.7,9.7,14.0,12.5,10.4,15.0
"Brain and other CNS (ICD-9 191-192; ICD-10 C70-C72, C75.1-C75.3)",1998-2002,Male,15-99,1,"1,035",930,1,357,34.5,31.6,37.4,34.8,32.0,37.9
"Brain and other CNS (ICD-9 191-192; ICD-10 C70-C72, C75.1-C75.3)",1998-2002,Male,15-99,5,"1,035",930,1,147,14.3,12.2,16.5,14.8,12.7,17.2
"Brain and other CNS (ICD-9 191-192; ICD-10 C70-C72, C75.1-C75.3)",1998-2002,Male,15-99,10,"1,035",930,1,104,10.1,8.4,12.0,z,z,z
"Brain and other CNS (ICD-9 191-192; ICD-10 C70-C72, C75.1-C75.3)",1998-2002,Male,15-74 ICSS,1,883,779,1,354,30.4,27.6,33.4,30.8,28.0,33.9
"Brain and other CNS (ICD-9 191-192; ICD-10 C70-C72, C75.1-C75.3)",1998-2002,Male,15-74 ICSS,5,883,779,1,145,:,:,:,:,:,:
"Brain and other CNS (ICD-9 191-192; ICD-10 C70-C72, C75.1-C75.3)",1998-2002,Male,15-74 ICSS,10,883,779,1,103,:,:,:,:,:,:
"Brain and other CNS (ICD-9 191-192; ICD-10 C70-C72, C75.1-C75.3)",1998-2002,Male,15-99 ICSS,1,"1,035",930,1,357,*23.4,*21.5,*25.6,*23.8,*21.8,*26.0
"Brain and other CNS (ICD-9 191-192; ICD-10 C70-C72, C75.1-C75.3)",1998-2002,Male,15-99 ICSS,5,"1,035",930,1,147,:,:,:,:,:,:
"Brain and other CNS (ICD-9 191-192; ICD-10 C70-C72, C75.1-C75.3)",1998-2002,Male,15-99 ICSS,10,"1,035",930,1,104,:,:,:,:,:,:
"Brain and other CNS (ICD-9 191-192; ICD-10 C70-C72, C75.1-C75.3)",1998-2002,Female,15-44,1,124,82,0,97,78.2,69.9,84.5,78.3,71.4,85.9
"Brain and other CNS (ICD-9 191-192; ICD-10 C70-C72, C75.1-C75.3)",1998-2002,Female,15-44,5,124,82,0,54,43.5,34.7,52.0,43.7,35.8,53.4
"Brain and other CNS (ICD-9 191-192; ICD-10 C70-C72, C75.1-C75.3)",1998-2002,Female,15-44,10,124,82,0,42,33.9,25.7,42.2,34.2,26.8,43.7
"Brain and other CNS (ICD-9 191-192; ICD-10 C70-C72, C75.1-C75.3)",1998-2002,Female,45-54,1,95,87,0,53,55.8,45.2,65.1,56.0,46.9,66.8
"Brain and other CNS (ICD-9 191-192; ICD-10 C70-C72, C75.1-C75.3)",1998-2002,Female,45-54,5,95,87,0,17,17.9,11.0,26.2,18.2,11.9,27.8
"Brain and other CNS (ICD-9 191-192; ICD-10 C70-C72, C75.1-C75.3)",1998-2002,Female,45-54,10,95,87,0,8,:,:,:,:,:,:
"Brain and other CNS (ICD-9 191-192; ICD-10 C70-C72, C75.1-C75.3)",1998-2002,Female,55-64,1,151,145,0,41,27.2,20.3,34.4,27.4,21.2,35.5
"Brain and other CNS (ICD-9 191-192; ICD-10 C70-C72, C75.1-C75.3)",1998-2002,Female,55-64,5,151,145,0,11,7.3,3.9,12.1,7.6,4.4,13.3
"Brain and other CNS (ICD-9 191-192; ICD-10 C70-C72, C75.1-C75.3)",1998-2002,Female,55-64,10,151,145,0,6,:,:,:,:,:,:
"Brain and other CNS (ICD-9 191-192; ICD-10 C70-C72, C75.1-C75.3)",1998-2002,Female,65-74,1,213,209,0,29,13.6,9.4,18.6,13.9,10.0,19.5
"Brain and other CNS (ICD-9 191-192; ICD-10 C70-C72, C75.1-C75.3)",1998-2002,Female,65-74,5,213,209,0,13,6.1,3.4,9.9,7.0,4.2,11.8
"Brain and other CNS (ICD-9 191-192; ICD-10 C70-C72, C75.1-C75.3)",1998-2002,Female,65-74,10,213,209,0,4,:,:,:,:,:,:
"Brain and other CNS (ICD-9 191-192; ICD-10 C70-C72, C75.1-C75.3)",1998-2002,Female,75-99,1,203,201,0,10,4.9,2.5,8.5,5.3,2.9,9.5
"Brain and other CNS (ICD-9 191-192; ICD-10 C70-C72, C75.1-C75.3)",1998-2002,Female,75-99,5,203,201,0,5,:,:,:,:,:,:
"Brain and other CNS (ICD-9 191-192; ICD-10 C70-C72, C75.1-C75.3)",1998-2002,Female,75-99,10,203,201,0,2,:,:,:,z,z,z
"Brain and other CNS (ICD-9 191-192; ICD-10 C70-C72, C75.1-C75.3)",1998-2002,Female,15-74,1,583,523,0,220,37.7,33.8,41.7,38.0,34.2,42.1
"Brain and other CNS (ICD-9 191-192; ICD-10 C70-C72, C75.1-C75.3)",1998-2002,Female,15-74,5,583,523,0,95,16.3,13.4,19.4,16.8,14.0,20.2
"Brain and other CNS (ICD-9 191-192; ICD-10 C70-C72, C75.1-C75.3)",1998-2002,Female,15-74,10,583,523,0,60,10.3,8.0,12.9,10.8,8.5,13.8
"Brain and other CNS (ICD-9 191-192; ICD-10 C70-C72, C75.1-C75.3)",1998-2002,Female,15-99,1,786,724,0,230,29.3,26.1,32.5,29.5,26.5,32.9
"Brain and other CNS (ICD-9 191-192; ICD-10 C70-C72, C75.1-C75.3)",1998-2002,Female,15-99,5,786,724,0,100,12.7,10.5,15.2,13.5,11.2,16.2
"Brain and other CNS (ICD-9 191-192; ICD-10 C70-C72, C75.1-C75.3)",1998-2002,Female,15-99,10,786,724,0,62,7.9,6.1,9.9,z,z,z
"Brain and other CNS (ICD-9 191-192; ICD-10 C70-C72, C75.1-C75.3)",1998-2002,Female,15-74 ICSS,1,583,523,0,220,31.5,28.2,35.2,31.7,28.4,35.4
"Brain and other CNS (ICD-9 191-192; ICD-10 C70-C72, C75.1-C75.3)",1998-2002,Female,15-74 ICSS,5,583,523,0,95,12.2,10.0,14.9,12.7,10.4,15.6
"Brain and other CNS (ICD-9 191-192; ICD-10 C70-C72, C75.1-C75.3)",1998-2002,Female,15-74 ICSS,10,583,523,0,60,:,:,:,:,:,:
"Brain and other CNS (ICD-9 191-192; ICD-10 C70-C72, C75.1-C75.3)",1998-2002,Female,15-99 ICSS,1,786,724,0,230,23.8,21.3,26.6,24.1,21.6,26.9
"Brain and other CNS (ICD-9 191-192; ICD-10 C70-C72, C75.1-C75.3)",1998-2002,Female,15-99 ICSS,5,786,724,0,100,*9.4,*7.9,*11.2,*10.2,*8.6,*12.1
"Brain and other CNS (ICD-9 191-192; ICD-10 C70-C72, C75.1-C75.3)",1998-2002,Female,15-99 ICSS,10,786,724,0,62,:,:,:,:,:,:
"Brain and other CNS (ICD-9 191-192; ICD-10 C70-C72, C75.1-C75.3)",2003-2007,Male,15-44,1,160,104,0,130,81.3,74.3,86.5,81.4,75.6,87.7
"Brain and other CNS (ICD-9 191-192; ICD-10 C70-C72, C75.1-C75.3)",2003-2007,Male,15-44,5,160,104,0,78,48.8,40.8,56.2,49.3,42.1,57.7
"Brain and other CNS (ICD-9 191-192; ICD-10 C70-C72, C75.1-C75.3)",2003-2007,Male,15-44,10,160,104,0,56,35.0,27.7,42.4,35.8,29.0,44.1
"Brain and other CNS (ICD-9 191-192; ICD-10 C70-C72, C75.1-C75.3)",2003-2007,Male,45-54,1,175,154,0,90,51.4,43.8,58.5,51.7,44.8,59.7
"Brain and other CNS (ICD-9 191-192; ICD-10 C70-C72, C75.1-C75.3)",2003-2007,Male,45-54,5,175,154,0,28,16.0,11.0,21.8,16.4,11.7,23.0
"Brain and other CNS (ICD-9 191-192; ICD-10 C70-C72, C75.1-C75.3)",2003-2007,Male,45-54,10,175,154,0,21,12.0,7.7,17.3,12.8,8.6,19.1
"Brain and other CNS (ICD-9 191-192; ICD-10 C70-C72, C75.1-C75.3)",2003-2007,Male,55-64,1,277,269,0,84,30.3,25.0,35.8,30.7,25.7,36.7
"Brain and other CNS (ICD-9 191-192; ICD-10 C70-C72, C75.1-C75.3)",2003-2007,Male,55-64,5,277,269,0,18,6.5,4.0,9.8,6.9,4.4,10.7
"Brain and other CNS (ICD-9 191-192; ICD-10 C70-C72, C75.1-C75.3)",2003-2007,Male,55-64,10,277,269,0,8,:,:,:,:,:,:
"Brain and other CNS (ICD-9 191-192; ICD-10 C70-C72, C75.1-C75.3)",2003-2007,Male,65-74,1,248,245,0,27,10.9,7.4,15.1,11.2,7.9,16.0
"Brain and other CNS (ICD-9 191-192; ICD-10 C70-C72, C75.1-C75.3)",2003-2007,Male,65-74,5,248,245,0,5,:,:,:,:,:,:
"Brain and other CNS (ICD-9 191-192; ICD-10 C70-C72, C75.1-C75.3)",2003-2007,Male,65-74,10,248,245,0,3,:,:,:,:,:,:
"Brain and other CNS (ICD-9 191-192; ICD-10 C70-C72, C75.1-C75.3)",2003-2007,Male,75-99,1,184,183,0,4,:,:,:,:,:,:
"Brain and other CNS (ICD-9 191-192; ICD-10 C70-C72, C75.1-C75.3)",2003-2007,Male,75-99,5,184,183,0,1,:,:,:,:,:,:
"Brain and other CNS (ICD-9 191-192; ICD-10 C70-C72, C75.1-C75.3)",2003-2007,Male,75-99,10,184,183,0,1,:,:,:,z,z,z
"Brain and other CNS (ICD-9 191-192; ICD-10 C70-C72, C75.1-C75.3)",2003-2007,Male,15-74,1,860,772,0,331,38.5,35.2,41.7,38.8,35.6,42.2
"Brain and other CNS (ICD-9 191-192; ICD-10 C70-C72, C75.1-C75.3)",2003-2007,Male,15-74,5,860,772,0,129,15.0,12.7,17.5,15.5,13.2,18.1
"Brain and other CNS (ICD-9 191-192; ICD-10 C70-C72, C75.1-C75.3)",2003-2007,Male,15-74,10,860,772,0,88,10.2,8.3,12.4,10.9,8.9,13.3
"Brain and other CNS (ICD-9 191-192; ICD-10 C70-C72, C75.1-C75.3)",2003-2007,Male,15-99,1,"1,044",955,0,335,32.1,29.3,34.9,32.4,29.6,35.4
"Brain and other CNS (ICD-9 191-192; ICD-10 C70-C72, C75.1-C75.3)",2003-2007,Male,15-99,5,"1,044",955,0,130,12.5,10.5,14.5,12.9,11.0,15.1
"Brain and other CNS (ICD-9 191-192; ICD-10 C70-C72, C75.1-C75.3)",2003-2007,Male,15-99,10,"1,044",955,0,89,8.5,6.9,10.3,z,z,z
"Brain and other CNS (ICD-9 191-192; ICD-10 C70-C72, C75.1-C75.3)",2003-2007,Male,15-74 ICSS,1,860,772,0,331,31.0,28.4,33.8,31.3,28.7,34.2
"Brain and other CNS (ICD-9 191-192; ICD-10 C70-C72, C75.1-C75.3)",2003-2007,Male,15-74 ICSS,5,860,772,0,129,:,:,:,:,:,:
"Brain and other CNS (ICD-9 191-192; ICD-10 C70-C72, C75.1-C75.3)",2003-2007,Male,15-74 ICSS,10,860,772,0,88,:,:,:,:,:,:
"Brain and other CNS (ICD-9 191-192; ICD-10 C70-C72, C75.1-C75.3)",2003-2007,Male,15-99 ICSS,1,"1,044",955,0,335,*23.0,*21.2,*24.9,*20.3,*18.6,*22.2
"Brain and other CNS (ICD-9 191-192; ICD-10 C70-C72, C75.1-C75.3)",2003-2007,Male,15-99 ICSS,5,"1,044",955,0,130,:,:,:,:,:,:
"Brain and other CNS (ICD-9 191-192; ICD-10 C70-C72, C75.1-C75.3)",2003-2007,Male,15-99 ICSS,10,"1,044",955,0,89,:,:,:,:,:,:
"Brain and other CNS (ICD-9 191-192; ICD-10 C70-C72, C75.1-C75.3)",2003-2007,Female,15-44,1,134,83,0,109,81.3,73.7,87.0,81.4,75.1,88.3
"Brain and other CNS (ICD-9 191-192; ICD-10 C70-C72, C75.1-C75.3)",2003-2007,Female,15-44,5,134,83,0,67,50.0,41.3,58.1,50.2,42.4,59.4
"Brain and other CNS (ICD-9 191-192; ICD-10 C70-C72, C75.1-C75.3)",2003-2007,Female,15-44,10,134,83,0,51,38.1,29.9,46.2,38.5,31.1,47.7
"Brain and other CNS (ICD-9 191-192; ICD-10 C70-C72, C75.1-C75.3)",2003-2007,Female,45-54,1,99,89,0,54,54.5,44.2,63.7,54.7,45.8,65.4
"Brain and other CNS (ICD-9 191-192; ICD-10 C70-C72, C75.1-C75.3)",2003-2007,Female,45-54,5,99,89,0,22,22.2,14.6,30.8,22.6,15.7,32.5
"Brain and other CNS (ICD-9 191-192; ICD-10 C70-C72, C75.1-C75.3)",2003-2007,Female,45-54,10,99,89,0,10,10.1,5.2,17.0,10.6,6.0,18.7
"Brain and other CNS (ICD-9 191-192; ICD-10 C70-C72, C75.1-C75.3)",2003-2007,Female,55-64,1,155,144,0,43,27.7,20.9,34.9,27.9,21.7,35.9
"Brain and other CNS (ICD-9 191-192; ICD-10 C70-C72, C75.1-C75.3)",2003-2007,Female,55-64,5,155,144,0,12,7.7,4.2,12.6,8.1,4.7,13.7
"Brain and other CNS (ICD-9 191-192; ICD-10 C70-C72, C75.1-C75.3)",2003-2007,Female,55-64,10,155,144,0,11,7.1,3.8,11.8,:,:,:
"Brain and other CNS (ICD-9 191-192; ICD-10 C70-C72, C75.1-C75.3)",2003-2007,Female,65-74,1,206,199,0,38,18.4,13.5,24.0,18.8,14.2,25.0
"Brain and other CNS (ICD-9 191-192; ICD-10 C70-C72, C75.1-C75.3)",2003-2007,Female,65-74,5,206,199,0,10,4.9,2.5,8.4,5.2,2.9,9.4
"Brain and other CNS (ICD-9 191-192; ICD-10 C70-C72, C75.1-C75.3)",2003-2007,Female,65-74,10,206,199,0,7,:,:,:,:,:,:
"Brain and other CNS (ICD-9 191-192; ICD-10 C70-C72, C75.1-C75.3)",2003-2007,Female,75-99,1,156,156,0,9,:,:,:,:,:,:
"Brain and other CNS (ICD-9 191-192; ICD-10 C70-C72, C75.1-C75.3)",2003-2007,Female,75-99,5,156,156,0,2,:,:,:,:,:,:
"Brain and other CNS (ICD-9 191-192; ICD-10 C70-C72, C75.1-C75.3)",2003-2007,Female,75-99,10,156,156,0,0,:,:,:,z,z,z
"Brain and other CNS (ICD-9 191-192; ICD-10 C70-C72, C75.1-C75.3)",2003-2007,Female,15-74,1,594,515,0,244,41.1,37.1,45.0,41.3,37.5,45.5
"Brain and other CNS (ICD-9 191-192; ICD-10 C70-C72, C75.1-C75.3)",2003-2007,Female,15-74,5,594,515,0,111,18.7,15.7,21.9,19.1,16.1,22.6
"Brain and other CNS (ICD-9 191-192; ICD-10 C70-C72, C75.1-C75.3)",2003-2007,Female,15-74,10,594,515,0,79,13.3,10.7,16.2,14.0,11.4,17.2
"Brain and other CNS (ICD-9 191-192; ICD-10 C70-C72, C75.1-C75.3)",2003-2007,Female,15-99,1,750,671,0,253,33.7,30.4,37.1,34.0,30.7,37.6
"Brain and other CNS (ICD-9 191-192; ICD-10 C70-C72, C75.1-C75.3)",2003-2007,Female,15-99,5,750,671,0,113,15.1,12.6,17.7,15.5,13.1,18.4
