id,hbnew,hb_label,sitenew,site_label,sexnew,sex_label,label,age_label,trans1.1993,trans1.1994,trans1.1995,trans1.1996,trans1.1997,trans1.1998,trans1.1999,trans1.2000,trans1.2001,trans1.2002,trans1.2003,trans1.2004,trans1.2005,trans1.2006,trans1.2007,trans1.2008,trans1.2009,trans1.2010,trans1.2011,trans1.2012,trans1.2013,trans1.2014,trans1.2015,trans1.2016,trans1.2017,trans1.2018
10041046,1,SCOTLAND,410,Malignant brain cancer,0,All Persons,46,WASR (Mortality),4.064054648,4.298626495,4.1030672,3.830064431,4.162100926,3.522233794,4.242359118,4.201077074,4.271877294,4.376218752,4.103648587,4.245522167,4.513551118,4.276541732,4.050456011,4.171450298,4.089553005,4.013794076,3.913992788,4.037108327,4.192138288,4.362548256,4.265613548,4.071304319,3.933591342,4.335444469
10041048,1,SCOTLAND,410,Malignant brain cancer,0,All Persons,48,WASR (Lower 95% CI) (Mortality),3.575300048,3.791790711,3.617119436,3.346720552,3.673422569,3.083708106,3.761647958,3.722124553,3.794126678,3.869090627,3.62170974,3.749630065,4.018787199,3.787269524,3.588331651,3.698663799,3.626205807,3.570127478,3.477266282,3.596196806,3.733267656,3.886665707,3.810559982,3.628601787,3.491060413,3.872276824
10041049,1,SCOTLAND,410,Malignant brain cancer,0,All Persons,49,WASR (Upper 95% CI) (Mortality),4.583666408,4.836793454,4.619198397,4.345534617,4.680853073,3.989488486,4.751556979,4.708596977,4.777547924,4.914123985,4.615254618,4.771763936,5.036621455,4.795106003,4.540165851,4.67226084,4.580354851,4.48306909,4.376180017,4.50314708,4.677221802,4.865516508,4.745963453,4.539119358,4.402147083,4.824398666
10041050,1,SCOTLAND,410,Malignant brain cancer,0,All Persons,50,Standardised Mortality Ratio,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
11041000,1,SCOTLAND,410,Malignant brain cancer,1,Males,0,Number of deaths: Under 5,1,3,1,2,1,1,0,1,1,2,3,3,0,2,3,1,1,2,0,3,2,2,1,0,2,1
11041001,1,SCOTLAND,410,Malignant brain cancer,1,Males,1,Number of deaths: 5..,4,2,2,0,1,1,3,3,1,0,4,1,1,2,0,3,0,2,0,1,2,5,2,4,0,5
11041002,1,SCOTLAND,410,Malignant brain cancer,1,Males,2,Number of deaths: 10-14,3,2,3,2,0,0,2,0,1,0,0,2,6,3,4,1,0,0,2,0,1,1,4,1,2,3
11041003,1,SCOTLAND,410,Malignant brain cancer,1,Males,3,Number of deaths: 15-19,0,0,2,2,1,0,2,2,1,1,1,1,1,3,1,2,1,1,1,0,1,1,0,0,0,0
11041004,1,SCOTLAND,410,Malignant brain cancer,1,Males,4,Number of deaths: 20-24,1,2,1,2,5,1,1,1,1,5,3,0,0,1,0,2,1,3,0,1,0,2,0,1,0,0
11041005,1,SCOTLAND,410,Malignant brain cancer,1,Males,5,Number of deaths: 25-29,3,3,4,2,1,1,1,1,0,1,3,1,2,3,3,0,5,3,2,1,1,1,5,1,3,1
11041006,1,SCOTLAND,410,Malignant brain cancer,1,Males,6,Number of deaths: 30-34,3,4,3,4,3,3,3,4,2,4,5,5,8,6,3,4,1,4,2,6,3,2,3,5,6,8
11041007,1,SCOTLAND,410,Malignant brain cancer,1,Males,7,Number of deaths: 35-39,4,2,4,11,7,4,8,8,5,5,6,2,9,9,9,10,3,2,8,4,2,7,4,6,7,7
11041008,1,SCOTLAND,410,Malignant brain cancer,1,Males,8,Number of deaths: 40-44,6,10,12,8,9,3,10,12,12,8,7,9,13,6,9,6,3,5,14,8,9,4,5,11,8,5
11041009,1,SCOTLAND,410,Malignant brain cancer,1,Males,9,Number of deaths: 45-49,8,16,11,7,7,6,12,10,16,13,14,12,12,15,11,15,15,16,7,10,19,14,17,18,11,7
11041010,1,SCOTLAND,410,Malignant brain cancer,1,Males,10,Number of deaths: 50-54,11,12,21,18,17,12,21,19,20,18,11,10,27,18,15,18,16,28,17,13,23,17,19,17,13,18
11041011,1,SCOTLAND,410,Malignant brain cancer,1,Males,11,Number of deaths: 55-59,16,24,13,24,19,22,23,19,22,18,22,29,21,26,28,28,21,22,19,39,22,21,33,23,16,28
11041012,1,SCOTLAND,410,Malignant brain cancer,1,Males,12,Number of deaths: 60-64,24,17,25,21,21,30,15,28,19,24,23,33,28,30,18,22,27,14,31,22,21,23,24,33,27,25
11041013,1,SCOTLAND,410,Malignant brain cancer,1,Males,13,Number of deaths: 65-69,28,21,18,18,26,15,24,30,27,38,27,24,18,26,28,27,35,35,26,35,44,33,42,37,26,32
11041014,1,SCOTLAND,410,Malignant brain cancer,1,Males,14,Number of deaths: 70-74,15,25,15,23,20,19,29,27,23,16,20,26,29,24,33,21,24,29,26,30,29,35,26,24,42,38
11041015,1,SCOTLAND,410,Malignant brain cancer,1,Males,15,Number of deaths: 75-79,11,14,14,10,13,17,14,22,20,15,18,19,21,18,19,13,24,23,18,27,22,19,30,19,38,27
11041016,1,SCOTLAND,410,Malignant brain cancer,1,Males,16,Number of deaths: 80x4,7,7,10,3,3,8,10,10,5,6,12,14,10,15,10,11,11,16,11,14,17,13,14,19,15,14
11041017,1,SCOTLAND,410,Malignant brain cancer,1,Males,17,Number of deaths: 85x9,5,3,3,4,3,6,4,4,4,2,5,2,1,3,0,5,8,2,6,8,11,9,6,9,8,5
11041018,1,SCOTLAND,410,Malignant brain cancer,1,Males,18,Number of deaths: 90+,0,0,0,0,0,2,0,0,1,0,1,1,0,3,2,2,1,1,0,2,3,0,2,1,5,3
11041019,1,SCOTLAND,410,Malignant brain cancer,1,Males,19,Number of deaths: All Ages,150,167,162,161,157,151,182,201,181,176,185,194,207,213,196,191,197,208,190,224,232,209,237,229,229,227
11041020,1,SCOTLAND,410,Malignant brain cancer,1,Males,20,Mortality rate: Under 5,0.606641511,1.824528967,0.615335389,1.261742087,0.645586128,0.658249845,0,0.687493125,0.705357899,1.448593054,2.213238115,2.224496152,0,1.457545348,2.131862822,0.691123213,0.679320136,1.348181303,0,1.986926027,1.331566788,1.339243863,0.669864152,0,1.378207779,0.701365559
11041021,1,SCOTLAND,410,Malignant brain cancer,1,Males,21,Mortality rate: 5..,2.418833034,1.200048002,1.20423167,0,0.602747322,0.609741226,1.843261344,1.872857919,0.639570209,0,2.637043874,0.66728947,0.675397302,1.378141301,0,2.156256738,0,1.451199779,0,0.708536447,1.382829407,3.393811046,1.343237471,2.626533239,0,3.25000325
11041022,1,SCOTLAND,410,Malignant brain cancer,1,Males,22,Mortality rate: 10-14,1.821670593,1.219504759,1.836176346,1.230716215,0,0,1.202993047,0,0.603358292,0,0,1.231640854,3.732225277,1.894657067,2.545144501,0.641301072,0,0,1.344393208,0,0.711075715,0.719222664,2.874409848,0.712347113,1.393922498,2.037130091
11041023,1,SCOTLAND,410,Malignant brain cancer,1,Males,23,Mortality rate: 15-19,0,0,1.283326382,1.271399238,0.627214852,0,1.24510518,1.244067354,0.620605338,0.618379475,0.613049369,0.611146082,0.610668377,1.819085849,0.598863357,1.202378304,0.594601023,0.594516183,0.601066292,0,0.622362738,0.632671138,0,0,0,0
11041024,1,SCOTLAND,410,Malignant brain cancer,1,Males,24,Mortality rate: 20-24,0.516392892,1.073191672,0.56084935,1.180219521,3.12258,0.651971235,0.655625926,0.649434992,0.634079222,3.094308329,1.826906682,0,0,0.596701434,0,1.161150235,0.577247223,1.705524193,0,0.541283708,0,1.090054884,0,0.550394082,0,0
11041025,1,SCOTLAND,410,Malignant brain cancer,1,Males,25,Mortality rate: 25-29,1.477075784,1.490631382,2.031962774,1.034789627,0.537258905,0.561526454,0.591859564,0.623736933,0,0.67708016,2.082480095,0.687190764,1.331699782,1.934323277,1.8542899,0,2.983685209,1.780330904,1.173764026,0.585175172,0.574841487,0.565172915,2.765593801,0.537204068,1.575828886,0.52484622
11041026,1,SCOTLAND,410,Malignant brain cancer,1,Males,26,Mortality rate: 30-34,1.526942908,2.010626159,1.499925004,2.014971236,1.517373932,1.534103112,1.557139224,2.137402949,1.085882442,2.247380397,2.89702244,3.009781791,4.962255842,3.843222157,1.969266317,2.660052004,0.65663331,2.569505113,1.252787452,3.674039239,1.796299623,1.191263275,1.764705882,2.901831055,3.438592469,4.495872227
11041027,1,SCOTLAND,410,Malignant brain cancer,1,Males,27,Mortality rate: 35-39,2.281594378,1.113362578,2.169844585,5.877983745,3.680375188,2.078559143,4.121586811,4.095695936,2.56818532,2.577585318,3.110548908,1.044610073,4.786368423,4.829129308,4.923090388,5.597662416,1.730922351,1.186197407,4.864138531,2.529292367,1.296663684,4.522752677,2.540247039,3.720514919,4.211134239,4.099584771
11041028,1,SCOTLAND,410,Malignant brain cancer,1,Males,28,Mortality rate: 40-44,3.600857004,6.02054209,7.216439048,4.757317349,5.245825197,1.718183536,5.615485262,6.605201596,6.502021045,4.246352118,3.660168995,4.642860828,6.600492498,3.035300545,4.535375932,3.032447185,1.528039525,2.598725585,7.334719945,4.296547724,4.962943356,2.282062985,2.938410907,6.669536588,5.016523173,3.213883979
11041029,1,SCOTLAND,410,Malignant brain cancer,1,Males,29,Mortality rate: 45-49,4.815679854,9.391931157,6.305278665,3.966769803,4.147066839,3.618599602,7.281906889,6.06468594,9.567947376,7.613603753,8.05885265,6.769525851,6.61419406,8.112975894,5.814107138,7.77077257,7.659157288,8.037737176,3.496363782,5.011551626,9.593682308,7.148035822,8.87427244,9.502592096,5.931198102,3.876806176
11041030,1,SCOTLAND,410,Malignant brain cancer,1,Males,30,Mortality rate: 50-54,7.951538984,8.517524807,14.75123103,12.31265947,10.80778669,7.337340336,12.53267447,11.07361624,11.49834999,10.77979866,6.705395405,6.128690238,16.50810731,10.86208769,8.842462685,10.40408302,9.049671384,15.49358123,9.204264281,6.905857229,11.98784537,8.744001358,9.633813672,8.610690425,6.586347009,9.189815642
11041031,1,SCOTLAND,410,Malignant brain cancer,1,Males,31,Mortality rate: 55-59,12.17026196,18.13250327,9.782821366,18.22710979,14.38707284,16.4541341,16.87714175,13.79090091,15.4952493,11.75287619,13.7869663,17.6821721,12.47386428,15.23675574,17.07712763,17.37317582,13.1061599,13.71459919,11.67362988,23.46443333,12.98969681,12.13557167,18.6365921,12.72567322,8.667060296,14.88949865
11041032,1,SCOTLAND,410,Malignant brain cancer,1,Males,32,Mortality rate: 60-64,19.48684638,13.88185723,20.46144654,17.21480801,17.21410245,24.27027377,12.02983399,22.34101971,15.24610422,19.1780603,18.15369072,25.44784349,21.290509,22.09277493,12.22610137,14.30577953,17.09217748,8.627489647,18.83033263,13.942847,13.54777526,14.92411412,15.55945983,21.09893482,16.8815416,15.31459236
11041033,1,SCOTLAND,410,Malignant brain cancer,1,Males,33,Mortality rate: 65-69,25.60421372,19.27825871,16.52058189,16.59720429,23.86634845,13.7470902,22.03007105,27.42029833,24.48868532,34.2938623,24.00469425,21.05373967,15.67944251,22.76388597,24.30218025,23.03636333,29.17858125,28.71747746,20.56717953,25.48234438,30.64066852,22.35196901,27.72515133,24.10941766,17.64230897,22.06683493
11041034,1,SCOTLAND,410,Malignant brain cancer,1,Males,34,Mortality rate: 70-74,17.05611462,27.33614713,16.7117885,25.74838233,22.60653329,21.40193969,32.53309401,30.11510663,25.48758865,17.51869573,21.68726957,27.99732949,30.83335105,25.21485155,34.31352161,21.41939169,24.0466505,28.76014043,25.82849877,29.51913332,28.04859177,32.96072024,24.09147347,21.45366455,34.32690657,29.6053913
11041035,1,SCOTLAND,410,Malignant brain cancer,1,Males,35,Mortality rate: 75-79,20.3987019,27.0604608,25.45454545,17.2535758,21.2296889,26.56125494,20.98856123,33.41890599,30.21421881,22.6298956,26.87409487,28.00583701,30.49488848,25.7194296,26.51446434,17.78483091,32.32627992,30.27231925,23.25942007,34.43570089,27.42116415,23.18147434,36.27437941,23.02611646,45.44856538,31.74939147
11041036,1,SCOTLAND,410,Malignant brain cancer,1,Males,36,Mortality rate: 80x4,20.384985,20.23940323,28.48191398,8.635330014,8.847469624,24.62599274,31.68869031,29.15961976,13.52338193,15.20450053,29.12197253,32.44195208,23.25365082,34.38947224,22.55249092,24.27291584,23.68494714,33.57465114,22.36590623,27.49734847,32.53214942,24.24378054,25.44529262,33.80722763,26.30010169,24.00384061
11041037,1,SCOTLAND,410,Malignant brain cancer,1,Males,37,Mortality rate: 85x9,37.05075954,21.51000215,20.54372389,26.57807309,19.30129319,37.11493257,24.27331756,23.95783421,23.97937774,12.04456489,31.29498654,12.59525159,5.630630631,15.39014005,0,22.66545784,34.17634997,8.399126491,24.63357556,32.224281,43.18297806,33.86131909,22.11900022,31.8167356,27.15362161,16.39774367
11041038,1,SCOTLAND,410,Malignant brain cancer,1,Males,38,Mortality rate: 90+,0,0,0,0,0,38.45414343,0,0,15.70598398,0,15.00375094,14.77104874,0,42.28925853,28.55511136,28.98970865,14.20454545,12.38390093,0,20.31694433,29.08103916,0,17.50853541,8.321544479,40.3616403,23.77179081
11041039,1,SCOTLAND,410,Malignant brain cancer,1,Males,39,Crude Rate (Mortality),6.126402385,6.807041171,6.603207936,6.579431308,6.428308798,6.191084756,7.469623872,8.265054118,7.43713464,7.226041669,7.587913152,7.92936165,8.410278579,8.605838071,7.850805849,7.593533649,7.780506001,8.162566939,7.392133214,8.691299776,8.969025933,8.04920413,9.078828364,8.715499088,8.673256827,8.570076991
