id,hbnew,hb_label,sitenew,site_label,sexnew,sex_label,label,age_label,trans1.1993,trans1.1994,trans1.1995,trans1.1996,trans1.1997,trans1.1998,trans1.1999,trans1.2000,trans1.2001,trans1.2002,trans1.2003,trans1.2004,trans1.2005,trans1.2006,trans1.2007,trans1.2008,trans1.2009,trans1.2010,trans1.2011,trans1.2012,trans1.2013,trans1.2014,trans1.2015,trans1.2016,trans1.2017
10041013,1,SCOTLAND,410,Malignant brain cancer,0,All Persons,13,Number of registrations: 65-69,57,44,33,41,47,43,53,45,63,45,44,35,37,47,53,53,67,56,52,49,62,57,65,53,71
10041014,1,SCOTLAND,410,Malignant brain cancer,0,All Persons,14,Number of registrations: 70-74,37,39,42,49,40,43,46,47,40,43,42,44,50,50,49,38,45,54,43,55,52,50,51,43,56
10041015,1,SCOTLAND,410,Malignant brain cancer,0,All Persons,15,Number of registrations: 75-79,23,28,24,21,34,32,34,48,26,40,38,42,33,38,25,42,41,40,38,43,39,45,50,34,51
10041016,1,SCOTLAND,410,Malignant brain cancer,0,All Persons,16,Number of registrations: 80x4,16,13,16,15,17,20,25,18,18,26,30,26,15,23,17,22,23,22,18,35,21,18,30,34,34
10041017,1,SCOTLAND,410,Malignant brain cancer,0,All Persons,17,Number of registrations: 85x9,8,4,1,8,8,10,11,12,11,11,11,10,8,5,7,20,17,10,14,14,22,23,20,14,8
10041018,1,SCOTLAND,410,Malignant brain cancer,0,All Persons,18,Number of registrations: 90+,1,0,2,2,4,2,1,1,4,2,2,2,1,4,8,5,4,2,6,6,10,8,2,2,10
10041019,1,SCOTLAND,410,Malignant brain cancer,0,All Persons,19,Number of registrations: All Ages,368,357,329,370,343,340,376,412,383,375,361,383,353,384,389,428,404,397,413,430,447,457,418,416,449
10041020,1,SCOTLAND,410,Malignant brain cancer,0,All Persons,20,Incidence rate: Under 5,1.548093059,4.034548146,2.199003537,2.579954399,2.31248245,2.699137288,4.133498214,2.824729091,1.447906147,2.594639475,6.035025781,1.516719941,4.143282233,1.866465586,1.822808437,2.127025992,2.782415136,2.062571545,3.065541272,3.718854593,4.421122081,2.39843485,4.121247089,4.177720218,1.77238343
10041021,1,SCOTLAND,410,Malignant brain cancer,0,All Persons,21,Incidence rate: 5..,3.091515028,3.375890007,2.774515153,1.545403969,2.779708131,2.49452763,2.198147276,1.276560436,2.942974955,3.329504403,3.381199853,2.054717117,1.388483914,2.118808665,3.970717761,2.938821092,2.596602902,2.225544053,4.060538944,2.902789218,1.4149425,4.848971845,2.052292411,3.346025925,2.649436498
10041022,1,SCOTLAND,410,Malignant brain cancer,0,All Persons,22,Incidence rate: 10-14,1.240360077,2.4878871,2.494877704,1.253262399,1.874010288,2.164609257,1.540267206,1.548543749,2.787042112,1.547915731,0.937385756,2.508662726,1.584956857,2.25516917,1.303356142,2.962650848,2.33219833,3.043615003,1.72255793,1.775706909,1.81730951,2.206701753,0.734910451,1.822303537,2.856153404
10041023,1,SCOTLAND,410,Malignant brain cancer,0,All Persons,23,Incidence rate: 15-19,2.593016359,1.958512184,0.64969026,1.932697047,0.951673995,2.19907262,2.203509876,0.314568286,0.629713008,1.883109139,1.558035255,0.930059524,2.168646331,1.538258015,1.51864901,1.2153511,1.805331143,0.904077389,1.52984264,0.940627587,1.594901419,2.270729326,0.328965765,1.33931561,3.103020273
10041024,1,SCOTLAND,410,Malignant brain cancer,0,All Persons,24,Incidence rate: 20-24,1.296102361,1.34505504,1.399462606,2.056120336,1.55254431,2.262129051,1.301312374,2.260945398,1.902376385,1.237719502,0.913283712,0.605831125,2.68122073,1.773023448,1.171059604,1.442127426,1.720405442,1.696276109,1.914765578,1.615782968,1.350340421,1.899381616,1.359915141,1.923251284,1.402095853
10041025,1,SCOTLAND,410,Malignant brain cancer,0,All Persons,25,Incidence rate: 25-29,2.926315379,1.476308932,1.506689702,5.109548725,2.374732843,1.651386752,3.467927451,3.333616186,1.270305032,3.31818031,1.705367131,1.016790602,2.31169586,0.640736078,3.981013627,1.78306622,3.528944698,3.20799783,1.732356669,2.303271798,3.976425478,2.796749059,1.648868052,4.009365879,2.616102635
10041026,1,SCOTLAND,410,Malignant brain cancer,0,All Persons,26,Incidence rate: 30-34,3.51595364,2.966464123,1.958988574,3.688884408,2.957267485,1.988659668,3.278614105,4.137221287,4.196864418,4.317136875,3.067595869,1.449691361,2.394679023,3.107645741,4.492939666,2.609935371,2.585198446,2.218475464,2.779613695,4.204999745,3.81557282,4.073533092,2.299511354,3.978255989,4.224400135
10041027,1,SCOTLAND,410,Malignant brain cancer,0,All Persons,27,Incidence rate: 35-39,4.217973629,3.560951157,4.534603022,6.28055227,4.117746975,2.789633721,5.011451166,3.225342258,5.207920006,5.214696505,2.248066663,3.528074654,2.307497058,4.915912031,3.949436679,4.325797434,1.958135072,3.17074155,5.058003398,4.037405005,3.501957913,4.12754757,4.997860291,4.881724958,2.359513114
10041028,1,SCOTLAND,410,Malignant brain cancer,0,All Persons,28,Incidence rate: 40-44,5.658551113,4.482348512,5.659410706,5.591277607,3.166269444,4.50578571,3.855538481,6.194385194,3.167162856,4.661050963,4.581516635,4.509989627,3.940401428,3.433855361,3.666226719,4.414274784,2.722913815,5.041059429,5.842545927,4.669611981,4.809285126,4.156414178,4.859572643,7.108204645,3.691932819
10041029,1,SCOTLAND,410,Malignant brain cancer,0,All Persons,29,Incidence rate: 45-49,6.87938935,7.877162938,7.127949546,4.504846934,4.99783917,6.283700082,6.013843869,9.599347244,7.096224808,4.621726157,4.524477423,6.628277891,5.123102767,6.072879839,8.267580234,8.350308076,5.478428687,5.141312651,6.81648323,7.799817679,8.582280778,4.954443888,5.810751406,5.353714841,4.414781728
10041030,1,SCOTLAND,410,Malignant brain cancer,0,All Persons,30,Incidence rate: 50-54,10.92218472,15.62483724,7.23893305,11.12583317,7.856397622,6.361939846,7.396515354,10.11961384,9.689839633,8.011560385,7.540545513,9.080232938,10.24522241,10.10119016,8.98417915,9.355703861,8.030860659,8.398625876,10.07110732,8.058080565,9.173470324,11.03766604,5.428171718,6.88483394,8.598473402
10041031,1,SCOTLAND,410,Malignant brain cancer,0,All Persons,31,Incidence rate: 55-59,14.27374107,9.821574726,15.96881726,10.98905124,10.98048402,14.46968601,7.835567064,15.19472213,13.09721581,7.69361462,9.876756597,16.22615656,12.89233726,11.54781082,12.31160985,15.25878906,11.96172249,11.9168388,10.84585628,11.78911629,12.12394132,13.81632187,11.57598809,9.708188048,12.40478666
10041032,1,SCOTLAND,410,Malignant brain cancer,0,All Persons,32,Incidence rate: 60-64,15.60115829,15.71561634,15.40879534,18.16684898,16.66253333,11.51627057,17.15135115,16.33515173,16.05805369,16.78229925,15.44192143,19.58552593,13.16540133,16.39554611,13.21270137,16.50929918,13.91865935,12.97862451,14.266056,12.08841279,12.60600865,15.83230423,12.61837614,13.68363437,12.15764822
10041033,1,SCOTLAND,410,Malignant brain cancer,0,All Persons,33,Incidence rate: 65-69,23.6111859,18.30404686,13.730377,17.1401816,19.5907615,17.93422726,22.20276571,18.85701355,26.30875622,18.78138056,18.16530427,14.30509915,15.05056175,19.236515,21.58103475,21.25074678,26.37753736,21.79107033,19.66620401,17.14815657,20.8486055,18.65323634,20.76975923,16.69165165,23.27365226
10041034,1,SCOTLAND,410,Malignant brain cancer,0,All Persons,34,Incidence rate: 70-74,17.62836547,18.00055386,19.91266872,23.49804343,19.41314075,20.90229877,22.36146827,22.75213725,19.30706928,20.55351083,19.97954475,20.90340726,23.63351043,23.49866998,22.9110071,17.51991738,20.48620595,24.42400065,19.51290347,24.8258803,23.11933132,21.77368433,21.9519124,17.99020162,21.57746696
10041035,1,SCOTLAND,410,Malignant brain cancer,0,All Persons,35,Incidence rate: 75-79,15.95814802,20.29059024,16.55012619,13.88585825,21.46383344,19.45253278,19.98072448,28.88486373,15.69896628,24.33297239,23.08921551,25.37841022,19.72539854,22.53601314,14.5680854,24.20093692,23.45833,22.58610954,21.21198589,23.80965565,21.2484268,24.13981782,26.65685694,18.19680378,27.08990662
10041036,1,SCOTLAND,410,Malignant brain cancer,0,All Persons,36,Incidence rate: 80x4,15.19958961,12.3109558,15.05811491,14.28911646,16.66781054,20.44697078,26.49652366,17.92203913,16.96049148,22.737608,25.43989824,21.35102731,12.60641919,19.4616732,14.37619978,18.45389881,19.03422022,17.86627902,14.35452487,27.21046126,16.11356225,13.59075225,22.33123172,24.92339721,24.65679911
10041037,1,SCOTLAND,410,Malignant brain cancer,0,All Persons,37,Incidence rate: 85x9,15.09889778,7.383615757,1.78804513,14.10437236,13.87323333,17.03838749,18.63112075,20.21393077,18.51571311,18.77101073,19.49801475,18.18512457,13.31801761,7.70748551,10.30593917,28.48637639,23.41307551,13.96609033,19.47826087,19.35787174,30.12130672,30.73674645,26.311635,17.95378184,9.988637924
10041038,1,SCOTLAND,410,Malignant brain cancer,0,All Persons,38,Incidence rate: 90+,4.60447555,0,8.485002758,8.211528987,15.99552125,7.666653889,3.690717845,3.53406842,13.61238727,7.488673382,7.36675384,7.192174914,3.505450976,13.79167672,27.80964299,17.55926251,13.95137944,6.191375414,17.0604794,16.25795963,26.53223667,20.22653722,5.025757005,4.87009034,23.96644697
10041039,1,SCOTLAND,410,Malignant brain cancer,0,All Persons,39,Crude Rate (Incidence),7.226369967,6.996967981,6.446316293,7.266028958,6.747532134,6.696775896,7.413322292,8.13756434,7.562892461,7.402289775,7.122422808,7.532993726,6.907753121,7.48085952,7.52417795,8.226181553,7.721860127,7.544373076,7.79259986,8.092442036,8.390112056,8.545889745,7.779638935,7.697004459,8.276802831
10041040,1,SCOTLAND,410,Malignant brain cancer,0,All Persons,40,Crude Rate (Lower 95% CI) (Incidence),6.506821825,6.289894556,5.768490911,6.544438518,6.052264709,6.003784125,6.682848282,7.370668652,6.824345521,6.671956319,6.406563954,6.797366518,6.205857446,6.751250761,6.794954736,7.465206936,6.98715088,6.820409746,7.059081692,7.345539843,7.63025016,7.780234122,7.051625506,6.975037241,7.528834624
10041041,1,SCOTLAND,410,Malignant brain cancer,0,All Persons,41,Crude Rate (Upper 95% CI) (Incidence),8.003748675,7.761776525,7.181901719,8.04545036,7.50076928,7.447813491,8.201850121,8.962573232,8.359573043,8.190746542,7.896395177,8.326524753,7.667299288,8.267820359,8.310337764,9.043688853,8.512814816,8.324265992,8.581631888,8.894697103,9.205163546,9.366520184,8.56240565,8.473405918,9.078970902
10041042,1,SCOTLAND,410,Malignant brain cancer,0,All Persons,42,EASR (Incidence),8.43829826,8.079068869,7.473581008,8.297988757,7.702731043,7.717442576,8.427265175,9.19116268,8.615459458,8.153969018,8.050079828,8.394400386,7.568396478,8.400716298,8.336984229,8.993767144,8.399282582,8.130685839,8.302712211,8.663348668,8.832156433,9.004513594,8.069106923,7.982659283,8.524205608
10041044,1,SCOTLAND,410,Malignant brain cancer,0,All Persons,44,EASR (Lower 95% CI) (Incidence),7.568614076,7.241797906,6.669243171,7.451122869,6.891346987,6.897798784,7.575538736,8.30729798,7.743966143,7.334791137,7.21428942,7.552728421,6.787081785,7.557819834,7.495896502,8.138661471,7.579134349,7.338464126,7.510329174,7.85303095,8.017353852,8.185773286,7.306383474,7.2256559,7.744707002
10041045,1,SCOTLAND,410,Malignant brain cancer,0,All Persons,45,EASR (Upper 95% CI) (Incidence),9.354597811,8.961480255,8.323050586,9.189778866,8.55861951,8.582436257,9.32371199,10.11906727,9.532752353,9.015887229,8.931017684,9.279895134,8.391662738,9.287531757,9.222150043,9.890973552,9.260958089,8.962930408,9.1342627,9.51288177,9.685825196,9.861718143,8.869152874,8.776831723,9.34054446
10041046,1,SCOTLAND,410,Malignant brain cancer,0,All Persons,46,WASR (Incidence),5.565457467,5.642369749,4.952495503,5.578256845,4.929892763,4.959411219,5.47320208,5.769488224,5.45234021,5.28315687,5.202452799,5.030470555,5.03555609,5.148519902,5.429535084,5.627258039,5.258837522,5.128087713,5.501711528,5.443332034,5.659728607,5.827579277,4.923396608,5.446609673,5.254710782
10041048,1,SCOTLAND,410,Malignant brain cancer,0,All Persons,48,WASR (Lower 95% CI) (Incidence),4.969995205,5.020760336,4.388521725,4.979618989,4.369423758,4.388072675,4.869096664,5.16942999,4.870860089,4.691731278,4.59033246,4.483027148,4.452076368,4.589057154,4.840900915,5.038614902,4.684677279,4.570015309,4.90825815,4.858483841,5.065248488,5.22277071,4.37751848,4.84556883,4.697757076
10041049,1,SCOTLAND,410,Malignant brain cancer,0,All Persons,49,WASR (Upper 95% CI) (Incidence),6.194123951,6.299731844,5.550066813,6.210382919,5.523691734,5.565207412,6.112122668,6.402020243,6.066134441,5.909181446,5.852328502,5.608994566,5.654443067,5.739695947,6.051454359,6.247951466,5.86570765,5.717844468,6.128543479,6.060937965,6.286717815,6.465045035,5.500885115,6.082281173,5.842414148
10041050,1,SCOTLAND,410,Malignant brain cancer,0,All Persons,50,Standardised Incidence Ratio,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
11041000,1,SCOTLAND,410,Malignant brain cancer,1,Males,0,Number of registrations: Under 5,2,6,4,2,4,4,9,5,2,2,12,1,6,3,3,2,6,2,4,3,6,5,2,4,4
11041001,1,SCOTLAND,410,Malignant brain cancer,1,Males,1,Number of registrations: 5..,4,4,4,3,6,3,5,2,6,7,8,3,3,2,3,5,2,5,6,5,1,9,4,5,6
11041002,1,SCOTLAND,410,Malignant brain cancer,1,Males,2,Number of registrations: 10-14,3,5,4,2,3,5,1,1,4,1,3,3,4,4,2,0,4,3,4,1,4,3,2,1,6
11041003,1,SCOTLAND,410,Malignant brain cancer,1,Males,3,Number of registrations: 15-19,3,4,1,3,1,4,4,0,2,5,3,2,4,2,3,0,3,2,1,0,3,3,1,1,7
11041004,1,SCOTLAND,410,Malignant brain cancer,1,Males,4,Number of registrations: 20-24,3,3,4,5,3,5,2,6,5,3,1,1,5,3,0,3,4,5,3,4,4,3,0,6,2
11041005,1,SCOTLAND,410,Malignant brain cancer,1,Males,5,Number of registrations: 25-29,6,3,6,11,6,4,5,5,2,7,3,0,4,1,7,4,7,5,3,4,10,5,4,9,5
11041006,1,SCOTLAND,410,Malignant brain cancer,1,Males,6,Number of registrations: 30-34,4,10,4,11,7,5,9,9,8,9,9,4,5,6,5,3,6,5,6,7,6,8,7,5,7
11041007,1,SCOTLAND,410,Malignant brain cancer,1,Males,7,Number of registrations: 35-39,10,5,12,15,10,8,16,3,11,13,5,9,5,11,8,12,3,3,10,7,5,5,13,12,3
11041008,1,SCOTLAND,410,Malignant brain cancer,1,Males,8,Number of registrations: 40-44,12,8,13,10,9,11,10,20,8,11,10,12,11,8,6,12,6,14,18,7,8,9,10,15,6
11041009,1,SCOTLAND,410,Malignant brain cancer,1,Males,9,Number of registrations: 45-49,17,15,13,12,9,11,12,21,13,11,8,12,12,15,22,19,15,12,20,22,19,14,14,13,12
11041010,1,SCOTLAND,410,Malignant brain cancer,1,Males,10,Number of registrations: 50-54,18,30,8,21,11,12,16,21,25,20,15,25,24,16,20,20,17,22,18,24,21,26,14,14,19
11041011,1,SCOTLAND,410,Malignant brain cancer,1,Males,11,Number of registrations: 55-59,17,17,26,17,23,27,14,25,21,18,26,31,21,27,29,30,25,20,22,27,18,28,29,23,27
11041012,1,SCOTLAND,410,Malignant brain cancer,1,Males,12,Number of registrations: 60-64,19,22,26,27,26,17,26,24,26,28,31,29,27,29,23,32,25,28,24,29,21,32,24,27,20
11041013,1,SCOTLAND,410,Malignant brain cancer,1,Males,13,Number of registrations: 65-69,29,23,16,22,24,29,26,22,45,29,23,24,19,28,30,29,34,34,35,34,38,30,37,28,40
11041014,1,SCOTLAND,410,Malignant brain cancer,1,Males,14,Number of registrations: 70-74,19,20,16,22,26,17,28,27,22,23,23,23,22,28,26,21,23,28,24,30,33,35,24,28,35
11041015,1,SCOTLAND,410,Malignant brain cancer,1,Males,15,Number of registrations: 75-79,10,18,13,12,16,13,18,23,10,18,20,25,19,25,12,25,23,18,23,24,19,27,26,15,30
11041016,1,SCOTLAND,410,Malignant brain cancer,1,Males,16,Number of registrations: 80x4,7,5,10,8,2,10,10,8,8,8,13,12,8,15,10,12,10,12,11,19,13,9,16,20,15
11041017,1,SCOTLAND,410,Malignant brain cancer,1,Males,17,Number of registrations: 85x9,6,0,1,4,3,5,4,4,6,3,6,3,4,3,3,8,6,5,5,9,8,13,5,9,6
11041018,1,SCOTLAND,410,Malignant brain cancer,1,Males,18,Number of registrations: 90+,0,0,0,0,0,0,0,0,2,0,1,1,0,2,4,2,2,1,1,1,4,3,1,2,4
11041019,1,SCOTLAND,410,Malignant brain cancer,1,Males,19,Number of registrations: All Ages,189,198,181,207,189,190,215,226,226,216,220,220,203,228,216,239,221,224,238,257,241,267,233,237,254
11041020,1,SCOTLAND,410,Malignant brain cancer,1,Males,20,Incidence rate: Under 5,1.213283023,3.649057935,2.461341554,1.261742087,2.582344511,2.632999381,6.044081501,3.437465625,1.410715797,1.448582562,8.853017772,0.741498717,4.419563936,2.186461431,2.131968873,1.382189111,4.074509191,1.348308547,2.671189882,1.986926027,3.994700364,3.348109657,1.339728303,2.711368089,2.756415557
11041021,1,SCOTLAND,410,Malignant brain cancer,1,Males,21,Incidence rate: 5..,2.418833034,2.400096004,2.40846334,1.810785036,3.616483934,1.829223677,3.07210224,1.248571946,3.837421253,4.547078502,5.273913903,2.001895127,2.026191907,1.378084325,2.11626775,3.593787061,1.45024219,3.627999449,4.329222977,3.542682236,0.691414704,6.108859883,2.686474942,3.283166548,3.892969297
11041022,1,SCOTLAND,410,Malignant brain cancer,1,Males,22,Incidence rate: 10-14,1.821670593,3.048761898,2.448235129,1.230716215,1.837357145,3.023980163,0.601496523,0.603587725,2.413433169,0.605030221,1.838607071,1.847472657,2.488134708,2.526097747,1.272645129,0,2.594656305,1.972814615,2.688786416,0.694116667,2.844302861,2.157667992,1.437204924,0.712347113,4.181767494
11041023,1,SCOTLAND,410,Malignant brain cancer,1,Males,23,Incidence rate: 15-19,1.919778841,2.578665412,0.641663191,1.907098858,0.627214852,2.480743231,2.490210361,0,1.241210677,3.091457684,1.839159382,1.222254816,2.44265859,1.212716546,1.797009776,0,1.783771249,1.189074781,0.601066292,0,1.867088214,1.898013413,0.641984502,0.65524788,4.720989519
11041024,1,SCOTLAND,410,Malignant brain cancer,1,Males,24,Incidence rate: 20-24,1.549178677,1.609787508,2.243397401,2.950548802,1.873548,3.259856175,1.311251852,3.896609949,3.170396109,1.856653938,0.608980019,0.608613092,3.008568403,1.790542355,0,1.741422045,2.307576929,2.84268577,1.647491694,2.165134834,2.168773992,1.635082326,0,3.302364493,1.116463935
11041025,1,SCOTLAND,410,Malignant brain cancer,1,Males,25,Incidence rate: 25-29,2.954151568,1.490631382,3.047944162,5.69134295,3.22355343,2.246105814,2.959297818,3.118684664,1.306156569,4.740010428,2.082393364,0,2.663417298,0.644874217,4.326114902,2.40244569,4.175863509,2.967253392,1.76064604,2.340700689,5.748414875,2.825864573,2.212475041,4.834836609,2.626381477
11041026,1,SCOTLAND,410,Malignant brain cancer,1,Males,26,Incidence rate: 30-34,2.035923877,5.026565398,1.999900005,5.5411709,3.540539174,2.55683852,4.671417671,4.809156634,4.343529769,5.057088915,5.214489328,2.407825433,3.101256009,3.842483782,3.281658156,1.995158416,3.94029145,3.211571936,3.758362356,4.286379112,3.592599246,4.765053101,4.117647059,2.901831055,4.011691214
11041027,1,SCOTLAND,410,Malignant brain cancer,1,Males,27,Incidence rate: 35-39,5.703985945,2.783406444,6.509533755,8.015432379,5.25767884,4.157118286,8.243173622,1.535885976,5.650007705,6.701790925,2.592070338,4.700720777,2.659135994,5.901762481,4.375745244,6.717495718,1.731351897,1.779232795,6.080173163,4.426261643,3.241659211,3.230537626,8.255802877,7.441029839,1.804771817
11041028,1,SCOTLAND,410,Malignant brain cancer,1,Males,28,Incidence rate: 40-44,7.201714008,4.816433672,7.817808969,5.946646686,5.245825197,6.3000063,5.615485262,11.00866933,4.334680697,5.838889125,5.228621474,6.190544974,5.584975401,4.046617028,3.023462066,6.065170254,3.056717391,7.276356001,9.430354215,3.759479258,4.411505206,5.134641716,5.876821815,9.094822621,3.76239238
11041029,1,SCOTLAND,410,Malignant brain cancer,1,Males,29,Incidence rate: 45-49,10.23331969,8.80493546,7.451692967,6.800176805,5.331943079,6.63409927,7.281906889,12.73584047,7.773957243,6.442431022,4.605032149,6.769525851,6.614084693,8.112317743,11.62766115,9.84353953,7.660291602,6.028302882,9.989610805,11.02541358,9.593682308,7.148035822,7.308224362,6.86298318,6.470397929
11041030,1,SCOTLAND,410,Malignant brain cancer,1,Males,30,Incidence rate: 50-54,13.01160925,21.29381202,5.619516581,14.36476938,6.993273742,7.337340336,9.54870436,12.23926005,14.37293748,11.97748233,9.143999707,15.32153779,14.67360402,9.655014271,11.78939426,11.56042635,9.616309261,12.17346075,9.745691592,12.74927488,10.94542403,13.37317855,7.098599548,7.091156821,9.626199475
11041031,1,SCOTLAND,410,Malignant brain cancer,1,Males,31,Incidence rate: 55-59,12.93090334,12.84385648,19.56564273,12.91086943,17.41593028,20.19371003,10.2730428,18.14592225,14.79091978,11.75279945,16.29368745,18.90232377,12.47364201,15.82213575,17.68702504,18.61411695,15.60432427,12.467662,13.5168346,16.24460769,10.62793375,16.18076223,16.37761124,12.72567322,14.62566425
11041032,1,SCOTLAND,410,Malignant brain cancer,1,Males,32,Incidence rate: 60-64,15.42708672,17.96475641,21.2799044,22.13332459,21.31269827,13.75315514,20.85171225,19.14944546,20.86308998,22.37386732,24.46685924,22.3632564,20.53091423,21.35461923,15.62245286,20.80854191,15.82689179,17.25455397,14.57832204,18.37920741,13.54777526,20.76398487,15.55945983,17.26276486,12.50484563
11041033,1,SCOTLAND,410,Malignant brain cancer,1,Males,33,Incidence rate: 65-69,26.51864993,21.11428335,14.68496168,20.28547191,22.03047549,26.57770772,23.8659103,20.10821878,40.81447553,26.17186795,20.44826145,21.05392436,16.55081099,24.51473949,26.0394063,24.74318283,28.34585275,27.89652032,27.68658783,24.75427739,26.46239554,20.31997182,24.42453808,18.24496472,27.1420138
11041034,1,SCOTLAND,410,Malignant brain cancer,1,Males,34,Incidence rate: 70-74,21.60441185,21.86891771,17.82590773,24.62888745,29.38849327,19.14910393,31.41126318,30.11510663,24.37943262,25.18340085,24.94036001,24.76686839,23.39081804,29.4160906,27.0346147,21.41961016,23.04586126,27.76841145,23.84169117,29.51913332,31.91736305,32.96072024,22.2382832,25.02927531,28.60575548
11041035,1,SCOTLAND,410,Malignant brain cancer,1,Males,35,Incidence rate: 75-79,18.54427446,34.79202103,23.63636364,20.70429096,26.12884788,20.3115479,26.98529302,34.93794717,15.10710941,27.15587472,29.86010541,36.84978553,27.59061338,35.7209196,16.74527644,34.2020658,30.98060345,23.69138029,29.72037008,30.60951191,23.6819145,32.94209512,31.43779549,18.178513,35.88044635
11041036,1,SCOTLAND,410,Malignant brain cancer,1,Males,36,Incidence rate: 80x4,20.384985,14.45671659,28.48191398,23.0275467,5.898313082,30.78249092,31.68869031,23.32769581,21.63741108,19.92825827,31.19900163,27.55200441,18.4855697,34.38947224,22.55249092,26.47954455,21.53223375,25.18098835,22.36590623,37.31783007,24.87752603,16.78415576,29.08033442,35.5865554,26.30010169
11041037,1,SCOTLAND,410,Malignant brain cancer,1,Males,37,Incidence rate: 85x9,44.46091145,0,6.847907964,26.57807309,19.30129319,30.92911048,24.27331756,23.95783421,35.9690666,17.75883502,36.71970624,18.51166235,22.10066855,15.01802163,14.12828483,35.97445813,25.50261402,20.95645249,20.52797964,36.25231612,31.40580222,48.91079424,18.43250018,31.8167356,20.36521621
11041038,1,SCOTLAND,410,Malignant brain cancer,1,Males,38,Incidence rate: 90+,0,0,0,0,0,0,0,0,31.41196796,0,17.12915382,16.5645188,0,30.22974607,59.7193192,29.76633428,28.88503755,12.45485116,11.04728237,10.15847217,38.77471888,27.30499681,8.754267706,16.64308896,32.28931224
11041039,1,SCOTLAND,410,Malignant brain cancer,1,Males,39,Crude Rate (Incidence),7.719267005,8.070623664,7.37765825,8.459268825,7.738537343,7.790106647,8.824006222,9.293045923,9.286146015,8.868294738,9.023401371,8.992059603,8.247734311,9.211678307,8.651911952,9.501833576,8.728381458,8.790446355,9.2596195,9.971714475,9.316962284,10.28295456,8.925599193,9.019970672,9.620118926
11041040,1,SCOTLAND,410,Malignant brain cancer,1,Males,40,Crude Rate (Lower 95% CI) (Incidence),6.657938739,6.985568213,6.341970561,7.346069619,6.674559582,6.721755717,7.683855929,8.120870464,8.114840874,7.724985014,7.870352676,7.843015892,7.152113656,8.054700604,7.536498521,8.335281685,7.615471031,7.676895879,8.120497683,8.789736234,8.177707118,9.086409097,7.816241615,7.908069518,8.473316667
