id,sitenew,site_label,sexnew,sex_label,section,sectlab,stat.1,stat.2,stat.3,stat.4
104200,420,"Malignant brain cancer (incl pituitary gland, craniopharyngeal duct and pineal gland)",1,Males,0,Up to 1 year,155,5.870545014,0.005870545,20.34120735
104201,420,"Malignant brain cancer (incl pituitary gland, craniopharyngeal duct and pineal gland)",1,Males,1,> 1 to 5 years,216,8.180888535,0.008180889,28.34645669
104202,420,"Malignant brain cancer (incl pituitary gland, craniopharyngeal duct and pineal gland)",1,Males,2,> 5 to 10 years,161,6.097791918,0.006097792,21.12860892
104203,420,"Malignant brain cancer (incl pituitary gland, craniopharyngeal duct and pineal gland)",1,Males,3,> 10 to 20 years,230,8.711131311,0.008711131,30.18372703
104204,420,"Malignant brain cancer (incl pituitary gland, craniopharyngeal duct and pineal gland)",1,Males,4,Total up to 20 years,762,28.86035678,0.028860357,100
104205,420,"Malignant brain cancer (incl pituitary gland, craniopharyngeal duct and pineal gland)",1,Males,5,Under 45,377,25.80961405,0.025809614,49.47506562
104206,420,"Malignant brain cancer (incl pituitary gland, craniopharyngeal duct and pineal gland)",1,Males,6,45-64,269,36.98189262,0.036981893,35.30183727
104207,420,"Malignant brain cancer (incl pituitary gland, craniopharyngeal duct and pineal gland)",1,Males,7,65+,116,25.65117498,0.025651175,15.22309711
104208,420,"Malignant brain cancer (incl pituitary gland, craniopharyngeal duct and pineal gland)",1,Males,8,All Ages,762,28.86035678,0.028860357,100
204200,420,"Malignant brain cancer (incl pituitary gland, craniopharyngeal duct and pineal gland)",2,Females,0,Up to 1 year,121,4.345483929,0.004345484,18.96551724
204201,420,"Malignant brain cancer (incl pituitary gland, craniopharyngeal duct and pineal gland)",2,Females,1,> 1 to 5 years,192,6.895313342,0.006895313,30.09404389
204202,420,"Malignant brain cancer (incl pituitary gland, craniopharyngeal duct and pineal gland)",2,Females,2,> 5 to 10 years,163,5.853833722,0.005853834,25.54858934
204203,420,"Malignant brain cancer (incl pituitary gland, craniopharyngeal duct and pineal gland)",2,Females,3,> 10 to 20 years,162,5.817920632,0.005817921,25.39184953
204204,420,"Malignant brain cancer (incl pituitary gland, craniopharyngeal duct and pineal gland)",2,Females,4,Total up to 20 years,638,22.91255163,0.022912552,100
204205,420,"Malignant brain cancer (incl pituitary gland, craniopharyngeal duct and pineal gland)",2,Females,5,Under 45,327,22.52809295,0.022528093,51.2539185
204206,420,"Malignant brain cancer (incl pituitary gland, craniopharyngeal duct and pineal gland)",2,Females,6,45-64,199,25.75608342,0.025756083,31.19122257
204207,420,"Malignant brain cancer (incl pituitary gland, craniopharyngeal duct and pineal gland)",2,Females,7,65+,112,19.98765049,0.01998765,17.55485893
204208,420,"Malignant brain cancer (incl pituitary gland, craniopharyngeal duct and pineal gland)",2,Females,8,All Ages,638,22.91255163,0.022912552,100
